yards_to_goal,yards_to_goal_end,pct
38,13,0.03555625531445732
38,14,0.030133746683469805
38,15,0.02583229915652828
38,17,0.02938242985578885
38,18,0.04262381852491144
38,19,0.05942289862345666
38,20,0.0686543412862784
38,21,0.062260894801606174
38,22,0.04376449925596014
38,23,0.024108387196975344
38,25,0.004610705257095533
38,32,5.184668173358624e-4
38,38,2.842524161455372e-4
38,100,8.527572484366117e-4
39,1,0.0347623065661488
39,2,0.043097504475782096
39,3,0.04731034314993468
39,4,0.048492413940977454
39,5,0.048645132889131124
39,6,0.04931058018355986
39,7,0.051130383166534316
39,8,0.053626464522209705
39,9,0.05524049083129303
39,10,0.054241689660737114
39,11,0.0501263876772062
39,12,0.044057639696794805
39,13,0.037712320284927825
39,14,0.03199351314866788
39,15,0.027423613419290994
39,16,0.02582723848507144
39,17,0.03069886972211981
39,18,0.043925159132937194
39,19,0.060662716654151995
39,20,0.06970350501289427
39,21,0.06302923403568061
39,23,0.024475259699735543
39,27,0.0017582192674783332
39,28,0.0013366245501090486
39,35,2.7538016204372185e-4
39,39,2.842524161455372e-4
39,100,8.527572484366118e-4
40,1,0.030973284381504505
40,2,0.03856263773924386
40,3,0.04257356091623979
40,4,0.043970436453095216
40,5,0.04451611223366241
40,6,0.04556171928702836
40,7,0.04768199309839345
40,8,0.050446059690096544
40,9,0.05237431766925248
40,10,0.05177321770112386
40,11,0.048116530322986545
40,12,0.042505035276256
40,13,0.03656763982621855
40,14,0.03121234743670043
40,15,0.02695456743759535
40,16,0.02546508671234384
40,17,0.029924357513684004
40,18,0.04202370390797513
40,19,0.05726865802827035
40,20,0.06534216159154504
40,21,0.0589163246071681
40,22,0.041419750227799215
40,23,0.023049666537578662
40,24,0.01080217525977643
40,25,0.004976038687976519
40,26,0.002774210196337607
40,28,0.001454532703808696
40,32,5.297236129428159e-4
40,40,2.2641509433962264e-4
40,100,0.0020377358490566034
41,1,0.029229355290466767
41,2,0.03646800341835926
41,3,0.04043004774853228
41,4,0.0420753431096413
41,5,0.04307444517277844
41,6,0.04465181787339922
41,7,0.0472847624347079
41,8,0.05050170954693623
41,9,0.052807191981294445
41,10,0.05249965159295692
41,11,0.04906945698464631
41,12,0.04364784986037762
41,13,0.03788236261650398
41,14,0.032684169705767194
41,15,0.028542682556596567
