pos_team,go_rate,n_should_go,wp_lost
Purdue,0.5454545454545454,11,25.207014855630455
Rice,0.5789473684210527,19,20.984421840978275
Rutgers,0.5882352941176471,17,22.67262929163499
San Diego State,0.6666666666666667,12,25.651063734079276
San José State,0.45454545454545453,11,22.02081284214732
SMU,0.5833333333333334,12,21.63486804417986
South Alabama,0.9090909090909091,11,6.8739572613093305
South Carolina,0.6363636363636364,11,23.32066149478132
South Florida,0.9,10,7.963222572191087
Southern Mississippi,0.6,5,8.715605609850005
Stanford,0.4444444444444444,9,18.780212486351893
Syracuse,0.4615384615384615,13,24.510562312374745
TCU,0.5384615384615384,13,18.57609820896922
Temple,0.5714285714285715,7,17.990429397460083
Tennessee,0.42857142857142855,7,16.844461008656037
Texas,0.5625,16,26.936422940851195
Texas A&M,0.18181818181818182,11,26.079020628177037
Texas State,0.6923076923076923,13,17.671432931361846
Texas Tech,0.5714285714285715,7,10.732199856236113
Toledo,0.6,10,25.66345953696067
Troy,0.18181818181818182,11,38.58911120545782
Tulane,0.923076923076923,13,13.031231542368385
Tulsa,0.4736842105263158,19,38.217054205523276
UAB,0.6666666666666667,9,14.263145767406971
UCF,0.6,10,14.084596517190395
UCLA,0.6470588235294117,17,22.17909163126669
UMass,0.6666666666666667,6,13.920191137909995
UNLV,0.2727272727272727,11,27.247719016289405
USC,0.5454545454545454,11,19.798858903027067
UT San Antonio,0.6428571428571429,14,22.430980016028634
Utah,0.7272727272727273,11,13.298921892906675
Utah State,0.7142857142857143,21,29.777134305395325
UTEP,0.5555555555555556,18,31.32870396141305
Vanderbilt,0.6,5,12.54182821926836
Virginia,0.4615384615384615,13,20.182241665174136
Virginia Tech,0.5,12,40.37335379465143
Wake Forest,0.7272727272727273,11,15.369542783173983
Washington,0.5833333333333334,24,50.77224711415464
Washington State,0.6666666666666667,15,17.01609214152932
West Virginia,0.7,10,14.331822467960352
Western Kentucky,0.375,8,31.794489863916002
Western Michigan,0.6923076923076923,13,17.843332655727853
Wisconsin,0.5833333333333334,12,17.351564370772344
Wyoming,0.4,20,49.201158264143416
